,hd_cluster0,hd_cluster1,hd_cluster10,hd_cluster11,hd_cluster12,hd_cluster13,hd_cluster14,hd_cluster16,hd_cluster17,hd_cluster18,hd_cluster19,hd_cluster2,hd_cluster21,hd_cluster22,hd_cluster3,hd_cluster4,hd_cluster5,hd_cluster6,hd_cluster7,hd_cluster8,hd_cluster9
sl_Amoeboid,0.028006061617948712,0.0,0.0,0.0009905649624680712,0.009572840299579529,0.0,0.3446765516710231,0.0003099554476642416,0.009063461940232043,0.0,0.0,0.0011744402891302834,0.0,0.0,0.006224637158394166,0.0,0.0,0.2101134226911081,0.006387982691401578,0.0027543415518570414,0.0
sl_Apopylar Cells,0.7537195491331979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019174762316546504,0.0,0.0,0.0018822440137498363,0.0,0.0,0.0,0.0,0.0,8.577692550294613e-05,0.0,0.0,0.0
sl_Archeocytes,0.6132006627566768,0.026800686109531013,0.0,0.008305289897030457,0.03521296767608875,0.0,0.000888470215353334,0.01440724537598998,0.0068732657518377925,0.0028998592184936297,0.0,0.1444368287719602,0.019435900406874217,0.028076212293639956,0.005219152894304588,0.00012583065435954027,0.0007426153918709259,0.007346970356226128,0.0008074232026699494,0.024806608056324227,0.0042785661074620455
sl_Basopinacocytes,0.03178481894791453,0.00667114732718836,0.0,0.0,0.0,0.17528485858601323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007079807649277993,0.000563265462287918,0.002831880448246186,0.0023250881013254054,0.0,0.0,0.011782158450698441
sl_Choanoblasts1,0.22811174736805645,0.0,0.0,0.0,0.004627645393568744,0.0,0.0,0.0005692411433406631,0.0011047390209082113,0.0,0.0,0.5945374046045606,0.0,0.03529866074694376,0.0,0.0,0.0,0.0012280767441317682,0.0,0.0011503208923737242,0.0
sl_Choanoblasts2,0.7397409199626911,0.0,0.0,0.0,0.00011981224125775108,0.0,0.0,0.0,0.0016469914118987835,0.0,0.0,0.04320520904179016,0.0,0.007777278271280122,0.0,0.0,0.0,0.0008461081810435707,0.0,0.0003256595882705633,0.0
sl_Choanocytes,0.8454379953993097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026745214705587287,0.0,0.0,0.0,0.0,0.017659303472744088,0.0,0.0,0.0,0.002817111405679441,0.0,0.00010043676858007254,0.0
sl_Excurrent Pinacocytes1,0.016788349656262955,0.00027788851185513326,0.639961801560037,0.0,0.000369179711962424,0.0,0.0,0.0007887865288730225,0.0,0.0,0.0,0.0014003733099613737,0.0,0.0,0.7244236329522897,0.0,0.08336243228758891,8.664112596485473e-05,0.0,0.0566798173282426,0.0
sl_Excurrent Pinacocytes2,0.0040381784944659585,0.004751288506749038,0.03679769594242695,0.0,0.0013164791492010042,0.0,0.0,0.0008486628699652986,0.0,0.0,0.0,0.0,0.0,0.0,0.5911102710664247,0.007851011266994078,0.34387448334476495,0.0,0.0,0.040750482165714516,0.0
sl_Incurrent Pinacocytes2,0.02482268711093198,0.14240585316045754,0.0,0.0,0.001967348359621459,0.0,0.0,0.00048206380814890215,0.0,0.0,0.0,0.0,0.0,0.0,0.022007574322424294,0.004849960766133956,0.08494517631913298,0.0,0.0,0.16025051183344768,0.0
sl_Lophocytes,0.0060492360046749865,0.06929925100847914,0.0,0.0,0.001826577693670488,0.0,0.0,0.0007297463997979021,0.0,0.00012715198014796896,0.0,0.0010860941437108788,0.0,0.00043506205205303387,0.016252543029538692,0.5255523336190102,0.030365327202749322,0.03294077594911256,0.0005465764138649281,0.009987613991609252,0.0
sl_Mesocytes 1,0.8512741680843842,0.004760558409608597,0.0010559036262101544,0.0032246075195380536,0.0011664789354291299,0.0,0.00023100930650143432,0.0010029121170651455,0.00021230739484034603,4.344741205134399e-05,0.028331608444039848,0.0884171741835678,0.0,0.028450076073807402,0.01177678192728005,0.0005944871387286289,0.004267468678155292,0.04473874504822028,8.996639433194925e-05,0.001657402997475434,0.0
sl_Mesocytes 2,0.2981596457310407,0.0191899709464554,0.0,0.0,0.0002963651675276393,0.0,0.0,0.0,7.549028433755103e-05,0.00016706846689207617,0.0,0.036450779721306566,0.0,0.0,0.000986357367996648,0.014413151717923714,0.0,0.0,6.971351716075441e-05,0.00022526240337099757,0.0001440369813876414
sl_Mesocytes 3,0.5824009886836861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007540325184620204,0.0,0.000654504561723424,0.02940854990469638,0.0009793615647304345,0.0,0.0,0.0007728579980178752,0.0,0.0
sl_Metabaloyctes1,2.487667032144893e-05,0.0022297543632489184,0.0,0.0,0.0,0.0,0.0,0.001124253603445912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.63647092281925e-05,0.0,0.0,0.0,0.8650928642528875
sl_Metabaloyctes2,0.003959612801720522,0.010999340678443641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001324520766626621,0.0,0.0,0.0,0.6808415166886521
sl_Myopeptidocytes1,0.6536607519713409,5.911383741840997e-05,0.00015419067466187374,0.012511866093000961,0.0,0.0,0.0001300554977073219,0.0,0.0,0.0,0.0,2.0963518895456458e-05,0.0,0.006973822062742177,0.0021116565365391603,0.0,0.0,4.0433959819442144e-05,0.007734423747350882,0.0,0.0
sl_Myopeptidocytes2,0.7694936299004981,0.0,0.0,0.02903974147732158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00400030255812443,0.0,0.0,0.0,0.0,8.351478016504742e-05,0.0
sl_Neuroid (choanocytes),0.16742175721994662,0.0174855109891334,0.0,0.00039439290012582525,0.00029574731057811657,0.0,0.0,0.0003842403667305309,0.0009258484292456844,0.0,0.0,0.011161420534146916,0.0,0.0013527413752896186,0.01286521884466697,0.0012317026818731936,0.0,0.00018660946961774778,0.001152504095561944,0.0008963930347296283,0.01985606389227499
sl_Neuroid (pinacocytes),0.12227737704542414,0.0012175344284612586,0.0,0.0018294040720493346,0.0003487031784851698,0.0,0.011543595701792064,0.0003663751071675694,0.06950684865258791,0.00010160705033033692,0.0,0.02618256968202906,0.0010545855735281458,0.0,0.00596631499408762,0.0,0.0,0.0002376913239444807,0.28255492082328526,0.004436753546367649,0.012276448525195174
